 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [nurse-4] [INFO] [1698537934.395902813] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537934.399944867] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537934.403541915] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698537934.405916946] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537934.409383992] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698537934.416824092] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537934.428047241] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698537934.429577261] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537934.439703396] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698537934.444018453] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537934.454697596] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698537934.456730623] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698537934.460165668] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698537934.464800730] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537934.465286737] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698537934.473203842] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537934.478168908] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537934.482540966] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698537934.486491019] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537934.492798103] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698537934.495429138] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537934.500684208] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537934.508278309] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698537934.513359376] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537934.518212441] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698537934.522911503] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537934.529087586] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698537934.535166667] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698537934.539961730] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698537934.550799875] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537934.554834928] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698537934.558666979] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698537934.551692887] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698537934.555228934] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698537934.584382322] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698537934.590841408] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537934.597029490] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537934.603406575] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [arm-1] [INFO] [1698537934.606679618] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537934.608920648] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698537934.617038756] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537934.627225892] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537934.631198945] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537934.629969928] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698537934.649479188] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698537934.655063262] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537934.658950314] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698537934.673443507] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537934.678651576] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537934.682587629] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537934.681584615] [robot]: Doing a_close_drawer
