 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698530276.599966456] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698530276.611882512] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530276.613707520] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698530276.617923540] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698530276.626286579] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698530276.629049592] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698530276.638759637] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698530276.641397649] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530276.642005652] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698530276.658129728] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698530276.660423738] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530276.665714763] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698530276.666674768] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530276.678146821] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530276.683882848] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530276.687537865] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [nurse-4] [INFO] [1698530276.690679880] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530276.691807885] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530276.695262901] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698530276.695690903] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530276.707437958] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530276.709613968] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698530276.709916970] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698530276.716951002] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698530276.725113041] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698530276.730863067] [environment]: Receiving message: monitor
