 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698540147.931226013] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698540147.944796217] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [arm-1] [INFO] [1698540147.945507228] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540147.949549288] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540147.965698531] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540147.970751607] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540147.972894639] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698540147.976722696] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698540147.979564739] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540147.983293795] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540147.986826848] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540147.999262035] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698540148.002976090] [robot]: Doing a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698540148.002268080] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540148.007828163] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698540148.022405381] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540148.026496442] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698540148.029820492] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698540148.034823567] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540148.038706625] [arm]: Action result: False
