 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698534430.239342424] [robot]: Authenticate nurse
trials-all-1  | [environment-3] [INFO] [1698534430.242416336] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698534430.246875207] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698534430.250718097] [robot]: Doing a_navto
trials-all-1  | [nurse-4] [INFO] [1698534430.250478104] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698534430.262017772] [nurse]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698534430.256511930] [arm]: Doing a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698534430.259300850] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698534430.266590641] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698534430.270526527] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698534430.276405358] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698534430.279486270] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534430.287183048] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534430.292361900] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534430.297044765] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698534430.301465638] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698534430.308366439] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698534430.313419294] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534430.323570002] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534430.328155870] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534430.334882677] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698534430.339852534] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698534430.347018328] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698534430.351564197] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534430.362495883] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534430.367262746] [nurse]: Action result: False
