 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698530969.633090411] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530969.633660427] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698530969.638207554] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698530969.645593761] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530969.650947911] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698530969.655018025] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530969.656120056] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698530969.659436148] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698530969.661219198] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530969.671768494] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698530969.672136504] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530969.679218703] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530969.679399708] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698530969.682980808] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530969.686194898] [robot]: Deposit
trials-all-1  | [nurse-4] [INFO] [1698530969.694854141] [nurse]: success
trials-all-1  | [coordinator-2] [INFO] [1698530969.697273208] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [nurse-4] [INFO] [1698530969.699370267] [nurse]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698530969.701882337] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698530969.703532384] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530969.720135849] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698530969.723042930] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698530969.732932207] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698530969.741141437] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530969.748909655] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698530969.753453782] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698530969.757970908] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530969.773120333] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698530969.777834465] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530969.783177614] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698530969.790398817] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698530969.794319927] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698530969.798051031] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698530969.794459930] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530969.798020030] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530969.804516212] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530969.809091340] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530969.824900783] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698530969.821319683] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530969.825275794] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530969.829198903] [robot]: Doing a_navto
trials-all-1  | [environment-3] [INFO] [1698530969.846999402] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [environment-3] [INFO] [1698530969.852735563] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698530969.856693674] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698530969.851118517] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530969.855300635] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530969.860998794] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530969.867627980] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530969.883883435] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530969.888304559] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530969.889877603] [robot]: door closed
trials-all-1  | [coordinator-2] [INFO] [1698530969.904502013] [coordinator]: Receiving sync message: error,door_closed,Room3
