 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698536429.771403747] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536429.775150841] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698536429.779191943] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536429.782121017] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698536429.799324450] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698536429.803278550] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698536429.800982492] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536429.804733587] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536429.820763991] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698536429.830261230] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698536429.837626416] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698536429.844375586] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536429.846478639] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698536429.849890725] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698536429.853538817] [arm]: Doing a_pick_up_sample
