 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698529656.312808833] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [robot-6] [INFO] [1698529656.314904863] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529656.318895920] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529656.315715874] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529656.320085937] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529656.323571987] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698529656.326551029] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529656.330764090] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529656.335019150] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529656.334343141] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698529656.347200324] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698529656.352383399] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698529656.356745461] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698529656.362346541] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529656.369812648] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698529656.375531729] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529656.383902849] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529656.388876920] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529656.392455971] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529656.388291912] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529656.392480972] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529656.396055023] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698529656.397288040] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698529656.400789091] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529656.402353113] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698529656.407076180] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698529656.406104167] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529656.407679189] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698529656.418152339] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529656.424186425] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698529656.431166525] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529656.437337613] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698529656.444174711] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529656.448808777] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698529656.453575845] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529656.458393914] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529656.462336970] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698529656.472896121] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529656.476931179] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529656.474941151] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698529656.478748205] [nurse]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698529656.485207297] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529656.489737362] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529656.497058467] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698529656.501501530] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529656.514709719] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529656.518412772] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529656.504467573] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529656.508887636] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529656.513923708] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698529656.519408786] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698529656.527697905] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529656.532564974] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529656.539104068] [arm]: Action: a_pick_up_sample
