 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698535899.163753232] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535899.178275397] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535899.184662469] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698535899.182499445] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535899.186783493] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535899.190797539] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698535899.184662469] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698535899.188492513] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698535899.196350602] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698535899.202838675] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698535899.216218827] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535899.226093939] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535899.230549989] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698535899.238124075] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698535899.238690081] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535899.245233156] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535899.245437158] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698535899.250982221] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698535899.255304270] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535899.267140404] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535899.255742275] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698535899.261857344] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698535899.275970504] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535899.279546544] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535899.264600375] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698535899.269537431] [nurse]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698535899.276608511] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698535899.280845559] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698535899.293180699] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698535899.310770898] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698535899.318136981] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535899.323132038] [robot]: Action: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698535899.328092094] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535899.328436098] [robot]: Doing a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698535899.340235232] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535899.349501337] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535899.356213413] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698535899.362725487] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698535899.368353550] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698535899.370222572] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698535899.373554609] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535899.382718713] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698535899.390709804] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698535899.395843862] [coordinator]: action_complete
