 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698527263.674128749] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527263.678581170] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698527263.688815139] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698527263.692069447] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527263.695580779] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527263.688081070] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698527263.691925433] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698527263.695450767] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698527263.694618688] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698527263.699254127] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698527263.710095153] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698527263.710255169] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698527263.714227545] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698527263.722123292] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698527263.734923504] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698527263.740261009] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698527263.745491504] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698527263.753727284] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527263.757315624] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698527263.758504736] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698527263.764240279] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698527263.774270229] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527263.775118309] [robot]: Action: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698527263.779860758] [nurse]: not ready
