 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [nurse-4] [INFO] [1698528276.582905421] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698528276.591818640] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528276.600855862] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528276.605642979] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528276.609788081] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698528276.613465171] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698528276.621181361] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698528276.624811450] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698528276.628329536] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528276.634283682] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528276.638021774] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698528276.612858156] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528276.617077260] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528276.622024381] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528276.634477687] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698528276.638543787] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698528276.641632863] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698528276.645769964] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528276.652865138] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528276.657009240] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528276.656944238] [coordinator]: Receiving sync message: action_complete,a_deposit
