 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [environment-3] [INFO] [1698529482.856432872] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529482.860030933] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529482.859668927] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698529482.865733029] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698529482.870676113] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698529482.871027119] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529482.875099188] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [robot-6] [INFO] [1698529482.882425313] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698529482.885155359] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529482.886687385] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529482.899124596] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529482.902990661] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529482.900974627] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529482.905236699] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698529482.902997661] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698529482.904191682] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529482.908641757] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529482.908968763] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [nurse-4] [INFO] [1698529482.909107765] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529482.919462941] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529482.924020018] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529482.933220174] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529482.937146241] [robot]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698529482.933478178] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529482.937661249] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698529482.936069222] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698529482.938142257] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698529482.942705335] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698529482.951281480] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529482.951431483] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698529482.958853609] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529482.966080731] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [nurse-4] [INFO] [1698529482.958995611] [nurse]: Doing a_deposit
trials-all-1  | [environment-3] [INFO] [1698529482.961655656] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698529482.963834693] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529482.970028798] [robot]: Deposit
trials-all-1  | [arm-1] [INFO] [1698529482.970140800] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529482.979971967] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698529482.983009018] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
