 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698537356.875240576] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537356.878726686] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537356.885176890] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537356.888984010] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537356.894811193] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698537356.895046201] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537356.900066359] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698537356.912073737] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698537356.920538004] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698537356.924408126] [robot]: Doing a_close_drawer
