 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698528645.641692205] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698528645.643252224] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528645.643292225] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528645.649949304] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528645.654486359] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698528645.657427394] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528645.658627408] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698528645.662477455] [robot]: Deposit
trials-all-1  | [nurse-4] [INFO] [1698528645.671729566] [nurse]: success
trials-all-1  | [environment-3] [INFO] [1698528645.674296596] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698528645.675825615] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698528645.685789734] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698528645.690742793] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528645.695010845] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528645.703222943] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528645.709890023] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698528645.710467030] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528645.717682116] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698528645.718510126] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [arm-1] [INFO] [1698528645.724764201] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698528645.729691260] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698528645.732195290] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528645.737424353] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528645.738718369] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528645.743663428] [robot]: not ready
