 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698528962.266272964] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528962.277472394] [robot]: Doing a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698528962.277478394] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528962.284129650] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528962.284129650] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698528962.296990144] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528962.303210383] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528962.301826330] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698528962.321289078] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528962.325548241] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528962.322632129] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698528962.326593282] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698528962.338508739] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528962.344140956] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698528962.348700131] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528962.352511278] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528962.356570433] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528962.354164341] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698528962.358262498] [robot]: Doing a_navto
trials-all-1  | [environment-3] [INFO] [1698528962.370768979] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [environment-3] [INFO] [1698528962.375387156] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698528962.390182725] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528962.394023873] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528962.395719938] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698528962.407678397] [arm]: not ready
