 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [nurse-4] [INFO] [1698528135.048986166] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698528135.052389484] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528135.052956703] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698528135.058160718] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698528135.058395809] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528135.071843014] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698528135.074146906] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528135.074750139] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698528135.078484585] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698528135.080984552] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698528135.087316003] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528135.097788057] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [arm-1] [INFO] [1698528135.099103566] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528135.104519663] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528135.106174303] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698528135.113829266] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528135.114658587] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528135.117893839] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698528135.124735488] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528135.128527956] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698528135.132554514] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698528135.126602210] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698528135.130450700] [nurse]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698528135.131667171] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528135.142155231] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528135.146797027] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528135.150906618] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698528135.155864537] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698528135.165839399] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528135.175366086] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698528135.178365247] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528135.192668784] [robot]: Action: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698528135.197807773] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528135.207257431] [robot]: Doing a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698528135.211393032] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528135.223916880] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528135.229085880] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528135.236112600] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698528135.240177174] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698528135.242616118] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698528135.248233292] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528135.257964059] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698528135.260419009] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698528135.264902745] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698528135.272539701] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528135.282017369] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528135.286005913] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528135.282017369] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698528135.300604564] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698528135.303355629] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528135.308484614] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528135.305612503] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698528135.323153293] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528135.334247587] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698528135.350729967] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528135.351546283] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698528135.364327230] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698528135.367034278] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698528135.369691307] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528135.387575229] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698528135.392032955] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698528135.389044798] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528135.393069356] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528135.397263980] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528135.421323293] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528135.430464831] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528135.436546185] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528135.446245940] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528135.449929366] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528135.461545862] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698528135.463177494] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698528135.469061772] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698528135.468238453] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528135.474509881] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528135.478486420] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528135.493413198] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528135.494809738] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [arm-1] [INFO] [1698528135.497199663] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528135.505926041] [robot]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698528135.512615631] [robot]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698528135.513085813] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528135.519845429] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528135.529264075] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698528135.533767818] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528135.538124505] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528135.535671555] [environment]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698528135.549333844] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528135.561027370] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698528135.562256846] [environment]: Responding
