 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [nurse-4] [INFO] [1698536028.965720781] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698536028.969275796] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536028.969674797] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698536028.972984811] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [arm-1] [INFO] [1698536028.989427876] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698536028.990472881] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698536028.993501893] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536028.994404896] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536029.002523929] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536029.006229944] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536029.009990959] [arm]: Action: a_pick_up_sample
