 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [nurse-4] [INFO] [1698537760.947677203] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698537760.957429386] [robot]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698537760.961468461] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698537760.962164474] [robot]: Doing a_navto
trials-all-1  | [nurse-4] [INFO] [1698537760.972989678] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698537760.973420686] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698537760.979272796] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698537760.979191794] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698537760.984113886] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698537760.991816031] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698537760.993327059] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537760.997445136] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537761.002118224] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698537761.003404248] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698537761.009446361] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698537761.012155412] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698537761.015550476] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537761.015614477] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698537761.023222619] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698537761.029939745] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537761.033674815] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537761.032467792] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698537761.036404866] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537761.032895800] [coordinator]: Found a problem
trials-all-1  | [environment-3] [INFO] [1698537761.046950063] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [nurse-4] [INFO] [1698537761.050031121] [nurse]: not ready
