 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698534078.661505937] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698534078.663185910] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698534078.665600870] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534078.670956782] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534078.675205712] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698534078.674589722] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698534078.681536607] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534078.685308545] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698534078.693341413] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698534078.693441411] [arm]: not ready
