 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [nurse-4] [INFO] [1698527996.748845325] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527996.744908348] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527996.749031324] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698527996.759754264] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527996.766018229] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698527996.770895202] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698527996.766644226] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698527996.771155200] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527996.779949151] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698527996.784888123] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698527996.789812096] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698527996.796686057] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698527996.803426020] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698527996.804597013] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527996.807999994] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698527996.818756934] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527996.822918910] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698527996.817985938] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698527996.822136915] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698527996.818754934] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527996.823037910] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698527996.833415852] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698527996.837416829] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698527996.831168864] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698527996.835790838] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698527996.840224813] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698527996.845111786] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698527996.849225763] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [robot-6] [INFO] [1698527996.854455734] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527996.859288707] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698527996.867687659] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698527996.873109629] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527996.883444571] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698527996.888076545] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698527996.905831446] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698527996.893911512] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698527996.898009489] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698527996.896866496] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527996.901372471] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698527996.905367448] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698527996.910067422] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698527996.915958389] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527996.919962366] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527996.919317370] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698527996.930436308] [arm]: not ready
