 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [environment-3] [INFO] [1698532978.834211641] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698532978.837606597] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532978.839888568] [robot]: Doing a_deposit
trials-all-1  | [environment-3] [INFO] [1698532978.839397574] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698532978.854597378] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532978.861285292] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698532978.869055193] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532978.869836183] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [arm-1] [INFO] [1698532978.874790119] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698532978.877407085] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698532978.878757068] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698532978.882027026] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532978.882820016] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [environment-3] [INFO] [1698532978.884081999] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698532978.889283933] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532978.897885822] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698532978.908359687] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698532978.912838630] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532978.924092485] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698532978.929854411] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698532978.937119318] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698532978.939326289] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698532978.939924282] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698532978.947369186] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698532978.949173163] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698532978.953255110] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698532978.959184034] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698532978.957327058] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532978.960861012] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532978.967786923] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532978.971809872] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532978.979161777] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698532978.985534695] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698532978.997898536] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698532979.002708474] [robot]: Doing a_navto
