 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698527303.942728664] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698527303.956491575] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698527303.959176557] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698527303.964930520] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698527303.965779514] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698527303.971644476] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527303.975350452] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698527303.981058415] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527303.992633339] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527303.996414315] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698527304.005181258] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698527304.011177218] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698527304.015266191] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698527304.018730168] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698527304.031999079] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698527304.037385043] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [robot-6] [INFO] [1698527304.045150991] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698527304.050308956] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698527304.054983925] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698527304.057062911] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698527304.070130824] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698527304.074313796] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527304.078467768] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698527304.082974738] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698527304.082306743] [arm]: Action: a_pick_up_sample
