 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698534212.661715617] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698534212.674793408] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698534212.684376255] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534212.687925199] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534212.686156227] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698534212.700074005] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534212.708262874] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698534212.718064718] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698534212.718312714] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534212.727486568] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534212.737883402] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534212.746508264] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534212.757472089] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534212.761252029] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698534212.759537056] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698534212.763645991] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698534212.783010682] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534212.787548610] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534212.786157632] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698534212.790100569] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698534212.794084505] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534212.798435436] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698534212.799657416] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698534212.805357326] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534212.805825318] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698534212.809798255] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534212.818460117] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534212.822770048] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534212.828046964] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698534212.833908870] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [arm-1] [INFO] [1698534212.836421830] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534212.848826632] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534212.854845536] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534212.863940391] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698534212.866733346] [robot]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698534212.868879312] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534212.872954247] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534212.873386240] [robot]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698534212.881817106] [arm]: Doing a_pick_up_sample
