 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698530449.806802793] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698530449.804762793] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530449.825314795] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698530449.827942795] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530449.831992795] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530449.842416796] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698530449.845568796] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530449.853966797] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698530449.859855798] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698530449.868743798] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530449.872749799] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698530449.873955799] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698530449.879298799] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698530449.879328799] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530449.883179800] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530449.897913801] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530449.901834801] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530449.898967801] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698530449.902667801] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698530449.905915802] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698530449.912145802] [coordinator]: Receiving sync message: action_complete,a_navto
