 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698535761.441445431] [robot]: Action: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698535761.449607520] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535761.455261581] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698535761.465625694] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535761.484664902] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698535761.492816991] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698535761.498318051] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698535761.501718088] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535761.507919155] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698535761.517919264] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698535761.520649294] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535761.530699404] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698535761.534172442] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698535761.543225540] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535761.547478587] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698535761.556836689] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698535761.560872733] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535761.564780775] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535761.566610795] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698535761.570687840] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698535761.574978887] [arm]: Action: a_pick_up_sample
