 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [nurse-4] [INFO] [1698537666.048681691] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698537666.049198701] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698537666.054412802] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537666.055280819] [nurse]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698537666.059577902] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537666.060499920] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698537666.063986988] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698537666.067820062] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698537666.076420228] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537666.081506327] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537666.092045530] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [arm-1] [INFO] [1698537666.094868585] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537666.097169630] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698537666.099842681] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537666.113375943] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537666.115070976] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698537666.126469197] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537666.126469197] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698537666.143436525] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537666.147214598] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698537666.149603644] [robot]: Doing a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698537666.159042827] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537666.162861901] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537666.159215830] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698537666.162769899] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698537666.167879998] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537666.173238101] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537666.177650187] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698537666.181255257] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698537666.185356336] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698537666.179235217] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537666.182660284] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698537666.195090524] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537666.199076601] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537666.198099582] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698537666.201953657] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698537666.215724923] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698537666.224254088] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698537666.228520171] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537666.238497364] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537666.242204436] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537666.241275418] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698537666.245040491] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698537666.251956624] [arm]: not ready
